;;;;;;;;;;Daily report lt 55 zone ABCD;;;;;;;Printed Date 2021/12/21(Tue);;;1
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;2021/12/20(Mon);;;;;;;;;;;;;;;;;
;;;kWh total 55 Zone A;kWh WBP 55 Zone A;kWh LWBP 55 Zone A;kWh total 55 Zone B;kWh WBP 55 Zone B;kWh LWBP 55 Zone B;kWh total 55 Zone C;kWh WBP 55 Zone C;kWh LWBP 55 Zone C;kWh total 55 Zone D;kWh WBP 55 Zone D;kWh LWBP 55 Zone D;kW Total 55 Zone A;;;;;
Page No.;Date;Time;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kW;;;;;
3;20/12/2021;08:00;7.5;0.0;7.5;33.1;0.0;33.1;3.6;0.0;3.6;0.4;0.0;0.4;;;;;;
3;20/12/2021;09:00;6.8;0.0;6.7;32.9;0.0;32.9;3.5;0.0;3.5;0.7;0.0;0.7;;;;;;
3;20/12/2021;10:00;8.3;0.0;8.4;34.3;0.0;34.3;3.6;0.0;3.6;0.9;0.0;0.9;;;;;;
3;20/12/2021;11:00;10.1;0.0;10.0;35.1;0.0;34.5;3.5;0.0;3.4;0.9;0.0;0.9;;;;;;
3;20/12/2021;12:00;10.1;0.0;10.3;34.9;0.0;35.5;3.4;0.0;3.5;0.7;0.0;0.7;;;;;;
3;20/12/2021;13:00;9.2;0.0;9.1;33.9;0.0;33.9;3.3;0.0;3.2;0.8;0.0;0.8;;;;;;
3;20/12/2021;14:00;5.7;0.0;5.7;24.0;0.0;23.9;3.1;0.0;3.2;0.8;0.0;0.8;;;;;;
3;20/12/2021;15:00;7.6;0.0;7.6;17.9;0.0;18.0;3.4;0.0;3.4;1.0;0.0;1.0;;;;;;
3;20/12/2021;16:00;7.3;0.0;7.2;24.6;0.0;24.1;3.4;0.0;3.4;1.0;0.0;1.0;;;;;;
3;20/12/2021;17:00;5.7;0.0;5.8;20.4;0.0;20.8;3.1;0.0;3.1;0.9;0.0;0.9;;;;;;
3;20/12/2021;18:00;5.5;0.0;5.5;18.3;0.0;17.9;3.3;0.0;3.3;0.9;0.0;0.8;;;;;;
3;20/12/2021;19:00;1.9;1.0;0.8;4.8;2.2;3.0;2.6;1.6;1.0;0.6;0.5;0.2;;;;;;
3;20/12/2021;20:00;1.1;1.2;0.0;3.1;3.1;0.0;2.5;2.5;0.0;0.7;0.7;0.0;;;;;;
3;20/12/2021;21:00;1.1;1.0;0.0;2.8;2.8;0.0;2.4;2.3;0.0;0.4;0.4;0.0;;;;;;
3;20/12/2021;22:00;0.7;0.8;0.0;2.0;2.0;0.0;2.4;2.5;0.0;0.5;0.4;0.0;;;;;;
3;20/12/2021;23:00;0.8;0.1;0.6;2.0;0.5;1.3;2.5;0.7;1.7;0.4;0.1;0.4;;;;;;
3;20/12/2021;00:00;0.7;0.0;0.8;1.9;0.0;2.0;2.5;0.0;2.5;0.4;0.0;0.4;;;;;;
3;20/12/2021;Daily Total;93.9;4.1;89.8;340.3;10.6;329.7;70.9;9.6;61.2;14.6;2.1;12.5;;;;;;
3;20/12/2021;Daily Maximum;10.1;1.2;10.3;35.1;3.1;35.5;3.6;2.5;3.6;1.0;0.7;1.0;;;;;;
3;20/12/2021;Daily Minimum;0.1;0.0;0.0;0.9;0.0;0.0;2.4;0.0;0.0;0.3;0.0;0.0;;;;;;
3;20/12/2021;Daily Average;3.9;0.2;3.7;14.2;0.4;13.7;3.0;0.4;2.6;0.6;0.1;0.5;;;;;;
3;20/12/2021;Monthly Total;1733.4;82.3;1651.2;6122.0;232.1;5889.8;1349.1;197.2;1151.9;299.7;48.6;251.1;;;;;;
3;20/12/2021;Monthly Maximum;145.8;18.0;133.0;443.4;31.7;432.7;79.0;10.8;68.6;28.8;8.7;20.1;;;;;;
3;20/12/2021;Monthly Minimum;3.7;0.6;3.1;29.3;3.8;25.5;54.1;9.2;44.9;5.4;0.8;4.5;;;;;;
3;20/12/2021;Monthly Average;86.7;4.1;82.6;306.1;11.6;294.5;67.5;9.9;57.6;15.0;2.4;12.6;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Daily report lt 52 Zone ABCDE;;;;;;;Printed Date 2021/12/21(Tue);;;4
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;2021/12/20(Mon);;;;;;;;;;;;;;;;;
;;;kWh total 52 Zone A;kWh WBP 52 Zone A;kWh LWBP 52 Zone A;kWh total 52 Zone B;kWh WBP 52 Zone B;kWh LWBP 52 Zone B;kWh total 52 Zone C;kWh WBP 52 Zone C;kWh LWBP 52 Zone C;kWh total 52 Zone D;kWh WBP 52 Zone D;kWh LWBP 52 Zone D;kWh total 52 Zone E;kWh WBP 52 Zone E;kWh LWBP 52 Zone E;;;
Page No.;Date;Time;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;;;
4;20/12/2021;01:00;2.1;0.0;2.1;0.4;0.0;0.4;0.3;0.0;0.2;0.3;0.0;0.4;5.1;0.0;5.2;;;
4;20/12/2021;02:00;2.1;0.0;2.1;0.4;0.0;0.4;0.2;0.0;0.3;0.4;0.0;0.4;0.9;0.0;0.9;;;
4;20/12/2021;03:00;2.0;0.0;2.0;0.4;0.0;0.4;0.3;0.0;0.2;0.4;0.0;0.3;0.6;0.0;0.5;;;
4;20/12/2021;04:00;1.9;0.0;1.9;0.4;0.0;0.4;0.2;0.0;0.3;0.3;0.0;0.4;0.5;0.0;0.5;;;
4;20/12/2021;05:00;2.2;0.0;2.2;0.4;0.0;0.4;0.2;0.0;0.2;0.4;0.0;0.4;0.5;0.0;0.6;;;
4;20/12/2021;06:00;2.5;0.0;2.5;0.8;0.0;0.8;0.5;0.0;0.5;1.0;0.0;1.0;1.0;0.0;0.9;;;
4;20/12/2021;07:00;2.8;0.0;2.8;12.9;0.0;12.8;5.4;0.0;5.3;15.8;0.0;15.9;1.7;0.0;1.8;;;
4;20/12/2021;08:00;2.6;0.0;2.6;11.8;0.0;12.0;5.6;0.0;5.7;19.8;0.0;19.7;2.0;0.0;2.0;;;
4;20/12/2021;09:00;2.8;0.0;2.8;8.2;0.0;8.0;5.9;0.0;5.8;20.2;0.0;20.0;2.2;0.0;2.1;;;
4;20/12/2021;10:00;2.7;0.0;2.7;8.9;0.0;9.1;4.6;0.0;4.7;17.9;0.0;18.2;18.7;0.0;18.9;;;
4;20/12/2021;11:00;2.9;0.0;2.9;10.0;0.0;9.9;6.0;0.0;5.9;26.3;0.0;25.9;22.4;0.0;22.0;;;
4;20/12/2021;12:00;2.8;0.0;2.8;10.2;0.0;10.3;6.1;0.0;6.2;16.8;0.0;17.1;24.1;0.0;24.4;;;
4;20/12/2021;13:00;2.8;0.0;2.8;9.3;0.0;9.3;5.8;0.0;5.8;9.9;0.0;9.9;15.7;0.0;15.7;;;
4;20/12/2021;14:00;2.9;0.0;2.9;7.6;0.0;7.4;5.2;0.0;5.1;10.4;0.0;10.2;11.5;0.0;11.5;;;
4;20/12/2021;15:00;2.8;0.0;2.8;7.4;0.0;7.6;4.7;0.0;4.8;16.4;0.0;16.6;12.0;0.0;11.9;;;
4;20/12/2021;16:00;2.8;0.0;2.8;7.7;0.0;7.6;5.8;0.0;5.7;15.2;0.0;15.0;11.9;0.0;11.7;;;
4;20/12/2021;17:00;3.2;0.0;3.3;7.5;0.0;7.6;4.6;0.0;4.7;13.7;0.0;14.0;11.7;0.0;12.0;;;
4;20/12/2021;18:00;3.2;0.0;3.1;7.3;0.0;7.3;4.6;0.0;4.5;12.5;0.0;12.4;10.9;0.0;10.9;;;
4;20/12/2021;19:00;2.8;2.2;0.6;3.1;1.5;1.6;1.8;0.7;1.2;3.8;1.6;2.2;3.4;1.3;2.1;;;
4;20/12/2021;20:00;2.7;2.7;0.0;2.1;2.1;0.0;0.9;0.9;0.0;2.4;2.4;0.0;1.9;1.9;0.0;;;
4;20/12/2021;21:00;2.6;2.6;0.0;2.1;2.1;0.0;1.0;0.9;0.0;2.4;2.4;0.0;1.0;1.0;0.0;;;
4;20/12/2021;22:00;2.6;2.6;0.0;0.9;0.9;0.0;0.4;0.5;0.0;2.4;2.4;0.0;0.5;0.5;0.0;;;
4;20/12/2021;23:00;2.6;0.6;2.1;0.4;0.1;0.3;0.3;0.1;0.2;1.7;0.8;0.9;0.4;0.1;0.3;;;
4;20/12/2021;00:00;2.8;0.0;2.7;0.4;0.0;0.4;0.2;0.0;0.2;0.3;0.0;0.3;0.5;0.0;0.4;;;
4;20/12/2021;Daily Total;63.2;10.7;52.5;120.6;6.7;114.0;70.6;3.1;67.5;210.7;9.6;201.2;161.1;4.8;156.3;;;
